Crop,Date,Real-Time,NN,ML
,,,,
Onion,04/03/2024,1200,1417.4843,1720.199681
Onion,05/03/2024,1200,1383.0725,1773.801382
Onion,05/03/2024,1400,1383.0725,1773.801382
Onion,06/03/2024,1400,1381.454,1778.349688
Onion,06/03/2024,1200,1381.454,1778.349688
Onion,07/03/2024,1200,1403.1613,1722.252313
Onion,08/03/2024,1200,1360.3662,1697.457668
Onion,08/03/2024,1400,1360.3662,1697.457668
Onion,09/03/2024,1400,1361.8982,1465.139914
Onion,10/03/2024,1200,1355.7922,1303.207201
Onion,11/03/2024,1200,1357.1152,1399.787296
Onion,12/03/2024,1200,1351.8323,1408.307278
Onion,12/03/2024,1300,1351.8323,1408.307278
Onion,13/03/2024,1300,1351.1929,1373.076384
Onion,13/03/2024,1200,1351.1929,1373.076384
,,,,
Corn,04/03/2024,2410,2018.1139,2131.700141
Corn,04/03/2024,2275,2018.1139,2131.700141
Corn,05/03/2024,2275,2014.8156,2152.811658
Corn,05/03/2024,2280,2014.8156,2152.811658
Corn,06/03/2024,2280,2007.4167,2161.719828
Corn,06/03/2024,2275,2007.4167,2161.719828
Corn,07/03/2024,2275,1997.1414,2161.076687
Corn,10/03/2024,2250,1980.9866,2151.490817
Corn,11/03/2024,2250,1978.1927,2179.0754
Corn,12/03/2024,2250,1976.0929,2170.537812
Corn,13/03/2024,2250,1974.6519,2160.376414
Corn,13/03/2024,2270,1974.6519,2160.376414
,,,,
Potato,04/03/2024,1400,1344.1644,1453.589486
Potato,05/03/2024,1400,1349.3716,1444.669998
Potato,06/03/2024,1500,1350.3419,1514.243499
Potato,07/03/2024,1500,1348.5669,1550.728006
Potato,08/03/2024,1500,1356.8867,1476.35101
Potato,09/03/2024,1500,1351.9379,1432.991637
Potato,11/03/2024,1200,1352.2802,1372.154399
Potato,12/03/2024,1200,1352.3292,1409.162099
Potato,13/03/2024,1100,1352.4894,1410.647055
